"","State","Happiness","Trump.Vote","Population","StateName","State1","Stadium","Capacity","City","Year.opened","Type","Tenant","HomeWins","HomeGames","FranchiseValue","Attendence","WinPct"
"73","Massachusetts",4,32.8,6895917,"Massachusetts","MA","Gillette Stadium",68756,"Foxborough",2002,"Football","New England Patriots",8,10,3.7e+09,100,0.8
"74","Pennsylvania",3,48.2,12823989,"Pennsylvania","PA","Lincoln Financial Field",68532,"Philadelphia",2003,"Football","Philadelphia Eagles",9,10,2.65e+09,100,0.9
"75","California",4,31.5,39776830,"California","CA","Levi's Stadium",68500,"Santa Clara",2014,"Football","San Francisco 49ers",3,8,3.05e+09,102.4,0.375
"76","Pennsylvania",3,48.2,12823989,"Pennsylvania","PA","Heinz Field",68400,"Pittsburgh",2001,"Football","Pittsburgh Steelers",6,9,2.45e+09,91.3,0.666666666666667
"77","Ohio",1,51.3,11694664,"Ohio","OH","FirstEnergy Stadium",67431,"Cleveland",1999,"Football","Cleveland Browns",0,7,1.95e+09,87.3,0
"78","Washington",3,36.8,7530552,"Washington","WA","CenturyLink Field",67000,"Seattle",2002,"Football","Seattle Seahawks",4,8,2.425e+09,102.9,0.5
"79","Minnesota",5,44.9,5628162,"Minnesota","MN","U.S. Bank Stadium",66655,"Minneapolis",2016,"Football","Minnesota Vikings",8,9,2.4e+09,91.4,0.888888888888889
"80","Florida",4,48.6,21312211,"Florida","FL","Raymond James Stadium",65857,"Tampa",1998,"Football","Tampa Bay Buccaneers",4,8,1.975e+09,91,0.5
"81","Ohio",1,51.3,11694664,"Ohio","OH","Paul Brown Stadium",65790,"Cincinnati",2000,"Football","Cincinnati Bengals",4,8,1.8e+09,81.3,0.5
"82","Florida",4,48.6,21312211,"Florida","FL","Hard Rock Stadium",65326,"Miami Gardens",1987,"Football","Miami Dolphins",4,7,2.575e+09,103.5,0.571428571428571
"83","Michigan",2,47.3,9991177,"Michigan","MI","Ford Field",65000,"Detroit",2002,"Football","Detroit Lions",4,8,1.7e+09,98.7,0.5
"84","California",4,31.5,39776830,"California","CA","Oakland–Alameda County Coliseum",63026,"Oakland",1966,"Football","Oakland Raiders",4,7,2.38e+09,91.5,0.571428571428571
"85","Indiana",1,56.5,6699629,"Indiana","IN","Lucas Oil Stadium",63000,"Indianapolis",2008,"Football","Indianapolis Colts",3,8,2.375e+09,100.7,0.375
"86","Illinois",2,38.4,12769320,"Illinois","IL","Soldier Field",61500,"Chicago",1924,"Football","Chicago Bears",3,8,2.85e+09,99.4,0.375
"87","Florida",4,48.6,21312211,"Florida","FL","Amalie Arena",19092,"Tampa",1996,"Hockey","Tampa Bay Lightning",29,41,3.9e+08,100,0.707317073170732
"88","Texas",5,52.2,28704330,"Texas","TX","American Airlines Center",18532,"Dallas",2001,"Hockey","Dallas Stars",26,41,5.15e+08,97.7,0.634146341463415
"89","Florida",4,48.6,21312211,"Florida","FL","BB&T Center",19250,"Sunrise",1998,"Hockey","Florida Panthers",27,41,3.05e+08,81.3,0.658536585365854
"90","New York",2,36.5,19862512,"New York","NY","Barclays Center",15795,"Brooklyn",2012,"Hockey","New York Islanders",19,41,3.95e+08,75.9,0.463414634146341
"91","Tennessee",2,60.7,6782564,"Tennessee","TN","Bridgestone Arena",17113,"Nashville",1996,"Hockey","Nashville Predators",28,41,3.8e+08,101.1,0.682926829268293
"92","D.C.",2,4.1,703608,"D.C.","DC","Capital One Arena",18506,"Washington",1997,"Hockey","Washington Capitals",28,41,6.25e+08,104,0.682926829268293
"93","Arizona",5,48.1,7123898,"Arizona","AZ","Gila River Arena",17125,"Glendale",2003,"Hockey","Arizona Coyotes",16,41,3e+08,76.2,0.390243902439024
"94","California",4,31.5,39776830,"California","CA","Honda Center",17174,"Anaheim",1993,"Hockey","Anaheim Ducks",26,41,4.6e+08,96.9,0.634146341463415
"95","New York",2,36.5,19862512,"New York","NY","KeyBank Center",19070,"Buffalo",1996,"Hockey","Buffalo Sabres",11,41,3.5e+08,99.8,0.268292682926829
"96","Michigan",2,47.3,9991177,"Michigan","MI","Little Caesars Arena",19515,"Detroit",2017,"Hockey","Detroit Red Wings",16,41,7e+08,100,0.390243902439024
"97","New York",2,36.5,19862512,"New York","NY","Madison Square Garden",18006,"New York",1968,"Hockey","New York Rangers",21,41,1.5e+09,99.1,0.51219512195122
"98","Ohio",1,51.3,11694664,"Ohio","OH","Nationwide Arena",18144,"Columbus",2000,"Hockey","Columbus Blue Jackets",26,41,3.15e+08,91.8,0.634146341463415
"99","Colorado",5,43.3,5684203,"Colorado","CO","Pepsi Center",17809,"Denver",1999,"Hockey","Colorado Avalanche",28,41,3.85e+08,87.1,0.682926829268293
"100","North Carolina",3,49.8,10390149,"North Carolina","NC","PNC Arena",18680,"Raleigh",1999,"Hockey","Carolina Hurricanes",19,41,3.7e+08,71.3,0.463414634146341
"101","Pennsylvania",3,48.2,12823989,"Pennsylvania","PA","PPG Paints Arena",18387,"Pittsburgh",2010,"Hockey","Pittsburgh Penguins",30,41,6.5e+08,101,0.731707317073171
"102","New Jersey",3,41,9032872,"New Jersey","NJ","Prudential Center",16514,"Newark",2007,"Hockey","New Jersey Devils",23,41,4e+08,92,0.560975609756098
"103","California",4,31.5,39776830,"California","CA","SAP Center",17562,"San Jose",1993,"Hockey","San Jose Sharks",25,41,4.9e+08,98.9,0.609756097560976
"104","Missouri",2,56.4,6135888,"Missouri","MO","Scottrade Center",18724,"St. Louis",1994,"Hockey","St. Louis Blues",24,41,4.5e+08,95.9,0.585365853658537
"105","California",4,31.5,39776830,"California","CA","Staples Center",18230,"Los Angeles",1999,"Hockey","Los Angeles Kings",23,41,7.5e+08,100.1,0.560975609756098
"106","Massachusetts",4,32.8,6895917,"Massachusetts","MA","TD Garden",17565,"Boston",1995,"Hockey","Boston Bruins",28,41,8.9e+08,100,0.682926829268293
"107","Nevada",2,45.5,3056824,"Nevada","NV","T-Mobile Arena",17368,"Paradise",2016,"Hockey","Vegas Golden Knights",29,41,5e+08,103.9,0.707317073170732
"108","Illinois",2,38.4,12769320,"Illinois","IL","United Center",19717,"Chicago",1994,"Hockey","Chicago Blackhawks",18,41,1e+09,109.8,0.439024390243902
"109","Pennsylvania",3,48.2,12823989,"Pennsylvania","PA","Wells Fargo Center",19543,"Philadelphia",1996,"Hockey","Philadelphia Flyers",22,41,7.4e+08,99.9,0.536585365853659
"110","Minnesota",5,44.9,5628162,"Minnesota","MN","Xcel Energy Center",17954,"Saint Paul",2000,"Hockey","Minnesota Wild",27,41,4.4e+08,106,0.658536585365854
"111","California",4,31.5,39776830,"California","CA","Los Angeles Memorial Coliseum",93607,"Los Angeles",1923,"Football","Los Angeles Rams",3,8,3e+09,67.7,0.375
"112","Georgia",3,50.4,10545138,"Georgia","GA","Mercedes-Benz Stadiumdouble-dagger",71000,"Atlanta",2017,"Football","Atlanta Falcons",5,8,2.475e+09,95.9,0.625
"113","California",4,31.5,39776830,"California","CA","StubHub Center",27000,"Carson",2003,"Football","Los Angeles Chargers",5,8,2.275e+09,93.8,0.625
"114","Arizona",5,48.1,7123898,"Arizona","AZ","University of Phoenix Stadiumdouble-dagger",63400,"Glendale",2006,"Football","Arizona Cardinals",5,8,2.15e+09,98.8,0.625
